,ID,train,path,eva_nr,category,name,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,depature_delay_m,info
0,-5224680247171799867-2407120209-10,,Horrem|Sindorf|Buir|Merzenich|Düren|Langerwehe|Eschweiler Hbf|Stolberg(Rheinl)Hbf|Aachen-Rothe Erde,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,2024-07-12 02:52:00,,2024-07-12 02:53:00,,1,0,Bauarbeiten. (Quelle: zuginfo.nrw)
1,-1623994736072630433-2407120253-1,4,,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,,2024-07-12 02:53:00,,2024-07-12 02:53:00,0,0,
2,-1251565744844871983-2407120236-1,19,,8000001,2,Aachen Hbf,Nordrhein-Westfalen,Aachen,52064,6.091499,50.7678,,2024-07-12 02:36:00,,,0,0,Bauarbeiten. (Quelle: zuginfo.nrw)
3,-5224680247171799867-2407120209-9,19,Horrem|Sindorf|Buir|Merzenich|Düren|Langerwehe|Eschweiler Hbf|Stolberg(Rheinl)Hbf,8000406,4,Aachen-Rothe Erde,Nordrhein-Westfalen,Aachen,52066,6.116475,50.770202,2024-07-12 02:50:00,2024-07-12 02:50:00,2024-07-12 02:49:00,2024-07-12 02:50:00,-1,0,Bauarbeiten. (Quelle: zuginfo.nrw)
4,-1251565744844871983-2407120236-2,19,Aachen Hbf,8000406,4,Aachen-Rothe Erde,Nordrhein-Westfalen,Aachen,52066,6.116475,50.770202,2024-07-12 02:39:00,2024-07-12 02:40:00,,,0,0,Bauarbeiten. (Quelle: zuginfo.nrw)
5,-1623994736072630433-2407120253-3,4,Aachen Hbf|Aachen Schanz,8000404,5,Aachen West,Nordrhein-Westfalen,Aachen,52072,6.070715,50.78036,2024-07-12 02:58:00,2024-07-12 02:59:00,2024-07-12 02:58:00,2024-07-12 02:59:00,0,0,
6,2177444777121604897-2407120202-6,8,Nauen|Brieselang|Finkenkrug|Falkensee|Seegefeld,8080040,5,Albrechtshof,Berlin,Berlin,13591,13.128917,52.549396,2024-07-12 02:21:00,2024-07-12 02:22:00,2024-07-12 02:21:00,2024-07-12 02:22:00,0,0,
7,7451169596740133223-2407120139-10,8,Flughafen BER|Berlin Ostkreuz|Berlin Ostbahnhof|Berlin Alexanderplatz|Berlin Friedrichstraße|Berlin Hbf|Berlin Zoologischer Garten|Berlin-Charlottenburg|Berlin-Spandau,8080040,5,Albrechtshof,Berlin,Berlin,13591,13.128917,52.549396,2024-07-12 02:37:00,2024-07-12 02:37:00,2024-07-12 02:37:00,2024-07-12 02:37:00,0,0,
8,2177444777121604897-2407120202-12,8,Nauen|Brieselang|Finkenkrug|Falkensee|Seegefeld|Albrechtshof|Berlin-Spandau|Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf|Berlin Friedrichstraße,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-12 02:51:00,2024-07-12 02:52:00,2024-07-12 02:51:00,2024-07-12 02:52:00,0,0,
9,7451169596740133223-2407120139-4,8,Flughafen BER|Berlin Ostkreuz|Berlin Ostbahnhof,8011155,3,Alexanderplatz,Berlin,Berlin,10179,13.410961,52.521481,2024-07-12 02:06:00,2024-07-12 02:07:00,2024-07-12 02:06:00,2024-07-12 02:07:00,0,0,
